timestamp	score	std	train_time_s
1773072924	0.4534	2.8496	202.5
1773073385	0.5144	3.2227	202.8
1773073611	7.383	10.4949	206.8
1773073855	14.3641	13.5586	215.8
1773074209	12.9499	13.2485	290.1
1773074470	37.7724	33.6191	235.2
1773074704	27.764	29.5263	201.4
1773074931	48.0563	31.0045	199.9
